text,emotion,updated_emotion
"I remember going to the fireworks with my best friend. There was a lot of people, but it only felt like us in the world.",sentimental,positive
 i used to scare for darkness,afraid,very negative
I showed a guy how to run a good bead in welding class and he caught on quick.,proud,very positive
I have always been loyal to my wife.,faithful,positive
A recent job interview that I had made me feel very anxious because I felt like I didn't come prepared.,terrified,very negative
I am very happy to have been first over 300 students during this years at my enginering school,joyful,very positive
I once lost my job and got mad.,angry,very negative
"One year during christmas, i did not get a single gift. It was a rough day for me.",sad,negative
"I was at work, and my coworker was called into my bosses office. Then they were allowed to work remotely every monday. this made me jealous because I enjoy working from home",jealous,negative
I went to a park and I set on a bench. I didn't notice that my wallet fell. A man came to me from behind giving me back my wallet.,grateful,very positive
I got recently got three rejection letters for 3 different jobs in a matter of a week and a half. That was a painful experience. ,sad,negative
I had my entire house boarded up when the hurricane came.,prepared,positive
"one time when I was in preschool, I had to write on the board. when I got up, my pants fell down in front of the class, that embarassed me",embarrassed,negative
I am so upset and mad. I cant believe what has happened!,angry,very negative
Last year a tree fell on my house while my family was at home. The tree broke through the ceiling just a few feet away from my daughter. The experience was terrifying.,afraid,very negative
"Last week, I was watching the world cup, and watched croatia win from russia",excited,very positive
I have someone always asking me questions about how to use mobile.,annoyed,negative
"I spent all weekend working on my truck to fix a miss in the engine. Despite spending over $200 in parts, it didn't do a thing to fix the miss.",angry,very negative
"A few years ago, my marriage broke up, and I found myself living alone for the first time in my life. Though I eventually grew accustomed to the solitude, it took a while to get used to it.",lonely,negative
I felt proud when I had accomplished a dream that I wanted to do for a long time. ,proud,very positive
When I spend time with my father outside by the fire when we are camping.,sentimental,positive
I was so happy when I moved in to my new home. My girlfriend and I have been saving for awhile and we finally got the keys last month. Now we can finally move on with our life plans.,joyful,very positive
I went to a party and it was real bad. ,ashamed,very negative
After learning my husband of only 4 weeks was cheating on me I did the same to him. Not only was it before our marriage but I had found texts of him contacting her for sex after. To make it worse I slept with a close family friend of his.,guilty,very negative
"when I was younger, my parents picked me up from work with a new car, which really surprised me, I was so excited to have my own car!",surprised,positive
I get wistful remembering my high school days.,nostalgic,positive
"Last year I placed an article in an academic journal. This was the first time in a while that I had been able to do this, and it made me feel better about myself.",confident,very positive
I get irritated with a coworker that gets on my nerves all the time by coming and bothering me smelling like smoke and trying to chat itu p,annoyed,negative
I broke a statuette offered by grandmother to my sister.,guilty,very negative
"I ordered for French fries ,bit was served burger,that pissed me off!",furious,very negative
"There was a situation where I might of hurt my freinds feelings, I ate from my friends fridge and he had no more food left that day. He had to go to bed with no food. Hungry.",guilty,very negative
